Date,Open,High,Low,Close
3/28/14,39896.58984,40299.35156,39896.58984,40048.19922
3/31/14,40052.53906,40461.60156,40051.12109,40461.60156
4/1/14,40465.98047,40781.10156,40299.48047,40470.01172
4/2/14,40478.30078,40900.53125,40478.30078,40900.53125
4/3/14,40898.32031,41087.53906,40249.01172,40563.05859
4/4/14,40568.39063,41167.30078,40542.12109,40598.33984
4/7/14,40580.55078,40875.60938,40347.14844,40595.69922
4/8/14,40592.96094,41004.87891,40541.44922,40906.82813
4/9/14,40895.55859,41075.42188,40662.57031,40937.76953
4/10/14,40925.62891,41089.78906,40381.26172,40447.96094
4/11/14,40447.08984,40455.85938,40020.57813,40380.78906
4/14/14,40385.44141,40615.33984,40349.98828,40530.69141
4/15/14,40536.17188,40571.23047,40105.28906,40481.80078
4/16/14,40481.80078,40891.08984,40481.80078,40890.53125
4/21/14,40885.69922,41003.64063,40650.07813,40654.07031
4/22/14,40655.35938,40762.76172,40438.80078,40468.19922
4/23/14,40466.85156,40496.23047,40168.5,40296.98047
4/24/14,40298.62109,40443.80078,40150.39844,40407.92969
4/25/14,40409.51953,40423.96094,39979.53125,40198.39844
4/28/14,40198.16016,40314.19141,40038.67188,40136.57031
4/29/14,40145.30859,40702.76172,40095.53906,40702.67188
4/30/14,40702.80859,40798.42969,40433.66016,40711.55859
5/2/14,40729.03906,41053.92969,40729.03906,40967.94922
5/5/14,40968.96094,41053.92969,40736.89844,41047.87891
5/6/14,41047.32813,41623.69141,40883.39063,41470.82031
5/7/14,41471.35938,41826.46094,41368.67188,41803.12891
5/8/14,41806.12891,42093.91016,41592.19922,41659.91016
5/9/14,41670.57031,41780.64844,41528.76172,41641.10938
5/12/14,41641.76172,42086.73047,41591.98047,42086.17188
5/13/14,42086.05859,42492.60938,41926.62109,42236.82813
5/14/14,42231.78125,42231.78125,42017.98828,42144.51172
5/15/14,42143.96094,42200.10938,41531.60938,41561.82813
5/16/14,41564.30859,42031.48047,41543.85938,41898.83984
5/19/14,41894.71875,41903.01953,41463.08984,41840.05078
